Hour;Irradiance
10:35:41;466.00
10:36:14;458.00
10:36:47;451.00
10:37:20;442.00
10:37:53;436.00
10:38:26;431.00
10:38:59;426.00
10:39:32;422.00
10:40:05;419.00
10:40:38;415.00
10:41:11;413.00
10:41:44;411.00
10:42:17;416.00
10:42:50;424.00
10:43:23;433.00
10:43:56;444.00
10:44:29;456.00
10:45:02;464.00
10:45:35;471.00
10:46:08;477.00
10:46:41;483.00
10:47:14;483.00
10:47:47;479.00
10:48:20;480.00
10:48:53;485.00
10:49:26;488.00
10:49:59;494.00
10:50:32;495.00
10:51:05;499.00
10:51:38;499.00
10:52:11;504.00
10:52:44;507.00
10:53:17;509.00
10:53:50;506.00
10:54:23;496.00
10:54:56;487.00
10:55:29;481.00
10:56:02;474.00
10:56:35;466.00
10:57:08;454.00
10:57:41;453.00
10:58:14;460.00
10:58:47;469.00
10:59:20;479.00
10:59:53;476.00
11:00:26;472.00
11:00:59;480.00
11:01:32;485.00
11:02:05;489.00
11:02:38;496.00
11:03:11;494.00
11:03:44;490.00
11:04:17;484.00
11:04:50;489.00
11:05:23;498.00
11:05:56;507.00
11:06:29;513.00
11:07:02;520.00
11:07:35;527.00
11:08:08;531.00
11:08:41;535.00
11:09:14;539.00
11:09:47;542.00
11:10:20;544.00
11:10:53;549.00
11:11:26;552.00
11:11:59;551.00
11:12:32;556.00
11:13:05;559.00
11:13:38;563.00
11:14:11;567.00
11:14:44;566.00
11:15:17;567.00
11:15:50;565.00
11:16:23;567.00
11:16:56;561.00
11:17:29;554.00
11:18:02;546.00
11:18:35;538.00
11:19:08;531.00
11:19:41;521.00
11:20:14;512.00
11:20:47;506.00
11:21:20;499.00
11:21:53;492.00
11:22:26;491.00
11:22:59;483.00
11:23:32;479.00
11:24:05;470.00
11:24:38;470.00
11:25:11;473.00
11:25:44;471.00
11:26:17;473.00
11:26:50;468.00
11:27:23;470.00
11:27:56;474.00
11:28:29;479.00
11:29:02;481.00
11:29:35;485.00
11:30:08;494.00
11:30:41;501.00
11:31:14;507.00
11:31:47;513.00
11:32:20;521.00
11:32:53;524.00
11:33:26;528.00
11:33:59;531.00
11:34:32;534.00
11:35:05;538.00
11:35:38;542.00
11:36:11;544.00
11:36:44;547.00
11:37:17;552.00
11:37:50;558.00
11:38:23;562.00
11:38:56;569.00
11:39:29;573.00
11:40:02;578.00
11:40:35;583.00
11:41:08;579.00
11:41:41;579.00
11:42:14;568.00
