Hour;Irradiance
11:35:36;497.00
11:36:10;492.00
11:36:43;481.00
11:37:16;473.00
11:37:49;481.00
11:38:22;480.00
11:38:55;478.00
11:39:28;478.00
11:40:01;473.00
11:40:34;481.00
11:41:07;486.00
11:41:40;477.00
11:42:13;480.00
11:42:46;486.00
11:43:19;482.00
11:43:52;476.00
11:44:33;492.00
11:45:06;501.00
11:45:39;495.00
11:46:12;496.00
11:46:45;502.00
11:47:18;509.00
11:47:51;499.00
11:48:24;502.00
11:48:57;506.00
11:49:30;498.00
11:50:03;497.00
11:50:36;502.00
11:51:09;512.00
11:51:42;516.00
11:52:15;522.00
11:52:48;534.00
11:53:22;546.00
11:53:55;537.00
11:54:28;537.00
11:55:02;539.00
11:55:35;522.00
11:56:08;511.00
11:56:42;511.00
11:57:15;513.00
11:57:48;518.00
11:58:21;517.00
11:58:55;508.00
11:59:28;505.00
12:00:01;520.00
12:00:35;532.00
12:01:08;536.00
12:01:41;531.00
12:02:15;532.00
12:02:48;521.00
12:03:21;516.00
12:03:55;520.00
12:04:28;525.00
12:05:01;535.00
12:05:35;547.00
12:06:08;553.00
12:06:41;559.00
12:07:15;555.00
12:07:48;558.00
12:08:21;563.00
12:08:55;565.00
12:09:28;571.00
12:10:01;576.00
12:10:35;581.00
12:11:08;567.00
12:11:41;549.00
12:12:15;538.00
12:12:48;518.00
12:13:21;526.00
12:13:55;519.00
12:14:28;519.00
12:15:01;526.00
12:15:34;523.00
12:16:07;530.00
12:16:40;537.00
12:17:13;537.00
12:17:46;542.00
12:18:27;543.00
12:19:00;551.00
12:19:33;547.00
12:20:06;553.00
12:20:39;562.00
12:21:12;568.00
12:21:45;561.00
12:22:18;565.00
12:22:51;573.00
12:23:24;573.00
12:23:57;578.00
12:24:30;568.00
12:25:03;564.00
12:25:36;571.00
12:26:09;569.00
12:26:42;565.00
12:27:15;544.00
12:27:48;534.00
12:28:21;520.00
12:28:55;512.00
12:29:28;505.00
12:30:01;516.00
12:30:35;534.00
12:31:08;539.00
12:31:41;547.00
12:32:15;543.00
12:32:48;528.00
12:33:21;525.00
12:33:54;519.00
12:34:28;520.00
12:35:01;513.00
12:35:34;512.00
12:36:08;502.00
12:36:41;497.00
12:37:14;491.00
12:37:48;485.00
12:38:21;486.00
12:38:54;496.00
12:39:28;501.00
12:40:01;502.00
12:40:34;502.00
12:41:07;503.00
12:41:41;504.00
12:42:14;511.00
12:42:47;512.00
12:43:21;518.00
12:43:54;517.00
12:44:27;511.00
12:45:01;502.00
12:45:34;500.00
12:46:07;496.00
12:46:40;488.00
12:47:14;488.00
12:47:47;491.00
12:48:20;492.00
12:48:53;491.00
12:49:26;494.00
12:49:59;490.00
12:50:32;493.00
12:51:05;501.00
12:51:38;510.00
12:52:11;514.00
12:52:44;528.00
12:53:17;530.00
12:53:58;540.00
12:54:31;539.00
12:55:12;552.00
12:55:45;556.00
12:56:18;559.00
12:56:51;558.00
12:57:24;556.00
12:57:57;552.00
12:58:30;551.00
12:59:03;555.00
12:59:36;558.00
13:00:10;554.00
13:00:51;542.00
13:01:24;546.00
13:01:57;536.00
13:02:30;521.00
13:03:04;520.00
13:03:38;514.00
13:04:19;507.00
13:04:52;511.00
13:05:25;516.00
13:05:58;527.00
13:06:31;532.00
13:07:12;521.00
13:07:45;514.00
13:08:18;527.00
13:08:51;528.00
13:09:24;541.00
13:09:57;535.00
13:10:30;537.00
13:11:03;543.00
13:11:36;539.00
13:12:09;543.00
13:12:42;546.00
13:13:15;530.00
13:13:56;518.00
13:14:29;507.00
13:15:02;512.00
13:15:35;525.00
13:16:08;533.00
13:16:41;539.00
13:17:14;543.00
13:17:47;543.00
13:18:20;549.00
13:18:53;557.00
13:19:27;558.00
13:20:00;556.00
13:20:33;545.00
13:21:06;540.00
13:21:39;539.00
13:22:12;543.00
13:22:45;533.00
13:23:18;541.00
13:23:51;546.00
13:24:24;556.00
13:24:57;557.00
13:25:30;564.00
13:26:04;570.00
13:26:37;576.00
13:27:10;577.00
13:27:44;584.00
13:28:17;583.00
13:28:50;584.00
13:29:24;576.00
13:29:57;579.00
13:30:30;584.00
13:31:04;595.00
13:31:37;584.00
13:32:10;589.00
13:32:44;595.00
13:33:17;595.00
13:33:50;597.00
13:34:23;603.00
13:34:57;584.00
13:35:30;593.00
13:36:04;587.00
13:36:37;586.00
13:37:10;584.00
13:37:43;573.00
13:38:16;554.00
13:38:49;539.00
13:39:22;523.00
13:39:55;510.00
13:40:28;504.00
13:41:01;495.00
13:41:34;491.00
